수집시각,아이템,체결건수,체결수량합,체결가_중앙,체결가_최저,체결_최초,체결_최종,체결구간_분,시간당_체결건수,매물_최저가,매물_평균가,매물_수량,매물_등록수
2026-09-03 12:52:54,에픽 소울 결정,100,199,880000,688888,2026-09-03 12:03:05,2026-09-03 12:50:36,47.5,126.26,837027,977027,390,100
2026-09-03 12:52:56,태초 소울 결정,100,107,4499999,4000000,2026-09-03 11:17:00,2026-09-03 12:36:20,79.3,75.64,4450000,5000000,141,100
2026-09-03 17:48:05,레어 소울 결정,100,7252,1989,1690,2026-09-03 15:54:55,2026-09-03 17:41:17,106.4,56.4,1980,2001,13700,100
2026-09-03 17:48:07,유니크 소울 결정,100,6487,3999,3300,2026-09-03 16:13:36,2026-09-03 17:41:24,87.8,68.35,3900,4085,7634,100
2026-09-03 17:48:10,레전더리 소울 결정,100,872,40000,34999,2026-09-03 16:31:49,2026-09-03 17:48:07,76.3,78.62,38888,41800,723,100
2026-09-03 17:48:12,에픽 소울 결정,100,565,1000000,920000,2026-09-03 17:32:11,2026-09-03 17:46:40,14.5,414.94,910000,973757,730,100
2026-09-03 17:48:14,태초 소울 결정,100,109,4880000,4450000,2026-09-03 17:14:07,2026-09-03 17:44:37,30.5,196.85,4974975,4994975,133,100
2026-09-03 23:17:08,레어 소울 결정,100,8423,2000,1300,2026-09-03 21:54:36,2026-09-03 23:11:33,76.9,78.0,1910,2001,15272,100
2026-09-03 23:17:10,유니크 소울 결정,100,9375,4085,2500,2026-09-03 22:07:23,2026-09-03 22:57:59,50.6,118.62,3949,4085,17669,100
2026-09-03 23:17:12,레전더리 소울 결정,100,865,41000,37000,2026-09-03 22:10:00,2026-09-03 23:13:30,63.5,94.52,39999,41752,1006,100
2026-09-03 23:17:14,에픽 소울 결정,100,330,963000,850000,2026-09-03 23:01:36,2026-09-03 23:16:12,14.6,411.52,973333,974454,403,100
2026-09-03 23:17:16,태초 소울 결정,100,111,4900000,4500000,2026-09-03 22:26:59,2026-09-03 23:15:54,48.9,122.7,4899999,4964497,133,100
2026-09-04 04:12:43,레어 소울 결정,100,7575,2000,1700,2026-09-04 00:38:56,2026-09-04 04:10:44,211.8,28.33,2113,2001,20272,100
2026-09-04 04:12:46,유니크 소울 결정,100,5234,4080,3200,2026-09-04 02:48:22,2026-09-04 04:04:53,76.5,78.43,4189,4083,22660,100
2026-09-04 04:12:48,레전더리 소울 결정,100,715,41702,38000,2026-09-04 01:55:02,2026-09-04 04:06:49,131.8,45.54,40000,41707,1779,100
2026-09-04 04:12:50,에픽 소울 결정,100,335,971114,860000,2026-09-04 03:10:07,2026-09-04 04:11:16,61.1,98.14,910000,970557,362,100
2026-09-04 04:12:53,태초 소울 결정,100,122,4932000,4699999,2026-09-04 01:55:40,2026-09-04 04:08:08,132.5,45.29,4908062,4908063,120,100
2026-09-04 07:26:47,레어 소울 결정,100,9030,2001,1500,2026-09-04 02:02:40,2026-09-04 07:21:37,319.0,18.81,2111,2001,23288,100
2026-09-04 07:26:49,유니크 소울 결정,100,6658,4187,3000,2026-09-04 03:00:00,2026-09-04 07:10:08,250.1,23.99,3999,4082,26128,100
2026-09-04 07:26:51,레전더리 소울 결정,100,629,41111,34999,2026-09-04 03:34:39,2026-09-04 07:16:12,221.5,27.09,34500,41704,1808,100
2026-09-04 07:26:53,에픽 소울 결정,100,253,875000,750000,2026-09-04 04:28:29,2026-09-04 07:20:54,172.4,34.79,900000,970279,392,100
2026-09-04 07:26:55,태초 소울 결정,100,128,4908062,4500000,2026-09-04 03:22:38,2026-09-04 07:24:55,242.3,24.76,4964497,4904032,114,100
2026-09-04 12:54:51,레어 소울 결정,100,5292,2000,1111,2026-09-04 10:44:45,2026-09-04 12:49:41,124.9,48.03,1997,2001,32163,100
2026-09-04 12:54:53,유니크 소울 결정,100,4564,4000,3333,2026-09-04 10:43:03,2026-09-04 12:48:40,125.6,47.76,4000,4081,17609,100
2026-09-04 12:54:55,레전더리 소울 결정,100,503,39900,30000,2026-09-04 11:22:12,2026-09-04 12:48:23,86.2,69.64,40700,41701,1208,100
2026-09-04 12:54:57,에픽 소울 결정,100,281,888000,777777,2026-09-04 11:02:18,2026-09-04 12:53:57,111.7,53.73,800000,970035,245,100
2026-09-04 12:54:59,태초 소울 결정,100,113,4900504,4555555,2026-09-04 11:04:57,2026-09-04 12:52:05,107.2,55.99,4899989,4900504,175,100
2026-09-04 17:44:04,레어 소울 결정,100,10068,2001,1700,2026-09-04 15:33:14,2026-09-04 17:42:24,129.2,46.45,1997,2001,18655,100
2026-09-04 17:44:06,유니크 소울 결정,100,5968,4070,3200,2026-09-04 15:50:52,2026-09-04 17:42:19,111.4,53.85,4000,4080,15649,100
2026-09-04 17:44:08,레전더리 소울 결정,100,930,41601,35000,2026-09-04 16:08:50,2026-09-04 17:43:57,95.1,63.09,40000,41701,1473,100
2026-09-04 17:44:11,에픽 소울 결정,100,279,927999,845000,2026-09-04 17:02:25,2026-09-04 17:39:29,37.1,161.81,930000,970009,502,100
2026-09-04 17:44:13,태초 소울 결정,100,145,4999999,4700000,2026-09-04 16:38:00,2026-09-04 17:41:34,63.5,94.43,5099990,4900126,488,100
2026-09-04 23:06:43,레어 소울 결정,100,7711,2001,1779,2026-09-04 22:11:36,2026-09-04 23:04:38,53.0,113.12,2090,2001,11074,100
2026-09-04 23:06:45,유니크 소울 결정,100,4312,4075,3700,2026-09-04 22:13:23,2026-09-04 23:05:31,52.1,115.07,3500,4075,9493,100
2026-09-04 23:06:47,레전더리 소울 결정,100,1122,41701,35000,2026-09-04 22:10:40,2026-09-04 23:04:33,53.9,111.36,35000,41701,4430,100
2026-09-04 23:06:49,에픽 소울 결정,100,306,954999,829999,2026-09-04 22:28:04,2026-09-04 23:00:19,32.2,186.22,920000,964753,641,100
2026-09-04 23:06:51,태초 소울 결정,100,117,4950000,4600000,2026-09-04 22:11:15,2026-09-04 23:03:53,52.6,114.03,4800000,4900016,438,100
